Logging Data Com 9
2024-05-04_04-42-092024-05-04 04:42:10,Neo6M GPS module test code
2024-05-04 04:42:14,Battery Voltage = 3.28V
2024-05-04 04:42:14,No Connection
2024-05-04 04:42:14,Battery Voltage = 3.27V
2024-05-04 04:42:14,No Connection
2024-05-04 04:42:14,Battery Voltage = 3.27V
2024-05-04 04:42:14,No Connection
2024-05-04 04:42:14,Battery Voltage = 3.28V
2024-05-04 04:42:14,No Connection
2024-05-04 04:42:14,Battery Voltage = 3.27V
2024-05-04 04:42:14,No Connection
2024-05-04 04:42:14,Battery Voltage = 3.26V
2024-05-04 04:42:14,No Connection
2024-05-04 04:42:14,Battery Voltage = 3.26V
2024-05-04 04:42:14,No Connection
2024-05-04 04:42:14,Battery Voltage = 3.26V
2024-05-04 04:42:14,No Connection
2024-05-04 04:42:14,Battery Voltage = 3.27V
2024-05-04 04:42:14,No Connection
2024-05-04 04:42:14,Battery Voltage = 3.26V
2024-05-04 04:42:14,No Connection
2024-05-04 04:42:14,Battery Voltage = 3.29V
2024-05-04 04:42:14,No Connection
2024-05-04 04:42:14,Battery Voltage = 3.26V
2024-05-04 04:42:14,No Connection
2024-05-04 04:42:14,Battery Voltage = 3.26V
2024-05-04 04:42:14,No Connection
2024-05-04 04:42:14,Battery Voltage = 3.26V
2024-05-04 04:42:14,No Connection
2024-05-04 04:42:14,Battery Voltage = 3.28V
2024-05-04 04:42:14,No Connection
2024-05-04 04:42:14,Battery Voltage = 3.26V
2024-05-04 04:42:14,No Connection
2024-05-04 04:42:14,Battery Voltage = 3.27V
2024-05-04 04:42:14,No Connection
2024-05-04 04:42:14,Battery Voltage = 3.26V
2024-05-04 04:42:14,No Connection
2024-05-04 04:42:14,Battery Voltage = 3.27V
2024-05-04 04:42:14,No Connection
2024-05-04 04:42:14,Battery Voltage = 3.26V
2024-05-04 04:42:14,No Connection
2024-05-04 04:42:14,Battery Voltage = 3.26V
2024-05-04 04:42:14,No Connection
2024-05-04 04:42:14,Battery Voltage = 3.25V
2024-05-04 04:42:14,No Connection
2024-05-04 04:42:14,Battery Voltage = 3.26V
2024-05-04 04:42:14,No Connection
2024-05-04 04:42:14,Battery Voltage = 3.25V
2024-05-04 04:42:15,No Connection
2024-05-04 04:42:15,Battery Voltage = 3.26V
2024-05-04 04:42:15,No Connection
2024-05-04 04:42:15,Battery Voltage = 3.26V
2024-05-04 04:42:15,No Connection
2024-05-04 04:42:15,Battery Voltage = 3.27V
2024-05-04 04:42:15,No Connection
2024-05-04 04:42:15,Battery Voltage = 3.27V
2024-05-04 04:42:15,No Connection
2024-05-04 04:42:15,Battery Voltage = 3.27V
2024-05-04 04:42:15,No Connection
2024-05-04 04:42:15,Battery Voltage = 3.23V
2024-05-04 04:42:15,No Connection
2024-05-04 04:42:15,Battery Voltage = 3.28V
2024-05-04 04:42:15,No Connection
2024-05-04 04:42:15,Battery Voltage = 3.27V
2024-05-04 04:42:15,No Connection
2024-05-04 04:42:15,Battery Voltage = 3.27V
2024-05-04 04:42:15,No Connection
2024-05-04 04:42:15,Battery Voltage = 3.24V
2024-05-04 04:42:15,No Connection
2024-05-04 04:42:15,Battery Voltage = 3.27V
2024-05-04 04:42:15,No Connection
2024-05-04 04:42:15,Battery Voltage = 3.27V
2024-05-04 04:42:15,No Connection
2024-05-04 04:42:15,Battery Voltage = 3.29V
2024-05-04 04:42:15,No Connection
2024-05-04 04:42:15,Battery Voltage = 3.27V
2024-05-04 04:42:15,No Connection
2024-05-04 04:42:15,Battery Voltage = 3.28V
2024-05-04 04:42:15,No Connection
2024-05-04 04:42:15,Battery Voltage = 3.26V
2024-05-04 04:42:15,No Connection
2024-05-04 04:42:15,Battery Voltage = 3.27V
2024-05-04 04:42:15,No Connection
2024-05-04 04:42:15,Battery Voltage = 3.27V
2024-05-04 04:42:15,No Connection
2024-05-04 04:42:15,Battery Voltage = 3.29V
2024-05-04 04:42:15,No Connection
2024-05-04 04:42:15,Battery Voltage = 3.26V
2024-05-04 04:42:15,No Connection
2024-05-04 04:42:15,Battery Voltage = 3.26V
2024-05-04 04:42:16,No Connection
2024-05-04 04:42:16,Battery Voltage = 3.26V
2024-05-04 04:42:16,No Connection
2024-05-04 04:42:16,Battery Voltage = 3.27V
2024-05-04 04:42:16,No Connection
2024-05-04 04:42:16,Battery Voltage = 3.26V
2024-05-04 04:42:16,No Connection
2024-05-04 04:42:16,Battery Voltage = 3.25V
2024-05-04 04:42:16,No Connection
2024-05-04 04:42:16,Battery Voltage = 3.25V
2024-05-04 04:42:16,No Connection
2024-05-04 04:42:16,Battery Voltage = 3.30V
2024-05-04 04:42:16,No Connection
2024-05-04 04:42:16,Battery Voltage = 3.26V
2024-05-04 04:42:16,No Connection
2024-05-04 04:42:16,Battery Voltage = 3.25V
2024-05-04 04:42:16,No Connection
2024-05-04 04:42:16,Battery Voltage = 3.28V
2024-05-04 04:42:16,No Connection
2024-05-04 04:42:16,Battery Voltage = 3.28V
2024-05-04 04:42:16,No Connection
