Logging Data Com 9
2024-05-04_04-35-182024-05-04 04:35:19,Neo6M GPS module test code
2024-05-04 04:36:06,Battery Voltage = 3.29V
2024-05-04 04:36:06,No Connection
2024-05-04 04:36:06,Battery Voltage = 3.30V
2024-05-04 04:36:07,No Connection
2024-05-04 04:36:07,Battery Voltage = 3.29V
2024-05-04 04:36:08,No Connection
2024-05-04 04:36:08,Battery Voltage = 3.28V
2024-05-04 04:36:08,No Connection
2024-05-04 04:36:08,Battery Voltage = 3.27V
2024-05-04 04:36:09,No Connection
2024-05-04 04:36:09,Battery Voltage = 3.29V
2024-05-04 04:36:10,No Connection
2024-05-04 04:36:10,Battery Voltage = 3.30V
2024-05-04 04:36:10,No Connection
2024-05-04 04:36:10,Battery Voltage = 3.33V
2024-05-04 04:36:11,No Connection
2024-05-04 04:36:11,Battery Voltage = 3.30V
2024-05-04 04:36:11,No Connection
2024-05-04 04:36:11,Battery Voltage = 3.29V
2024-05-04 04:36:12,No Connection
2024-05-04 04:36:12,Battery Voltage = 3.30V
2024-05-04 04:36:13,No Connection
2024-05-04 04:36:13,Battery Voltage = 3.30V
2024-05-04 04:36:13,No Connection
2024-05-04 04:36:13,Battery Voltage = 3.28V
2024-05-04 04:36:14,No Connection
2024-05-04 04:36:14,Battery Voltage = 3.30V
2024-05-04 04:36:14,No Connection
2024-05-04 04:36:14,Battery Voltage = 3.30V
2024-05-04 04:36:15,No Connection
2024-05-04 04:36:15,Battery Voltage = 3.30V
2024-05-04 04:36:16,No Connection
2024-05-04 04:36:16,Battery Voltage = 3.30V
2024-05-04 04:36:16,No Connection
2024-05-04 04:36:16,Battery Voltage = 3.29V
2024-05-04 04:36:17,No Connection
2024-05-04 04:36:17,Battery Voltage = 3.29V
2024-05-04 04:36:17,No Connection
2024-05-04 04:36:17,Battery Voltage = 3.29V
2024-05-04 04:36:18,No Connection
2024-05-04 04:36:18,Battery Voltage = 3.28V
2024-05-04 04:36:18,No Connection
2024-05-04 04:36:18,Battery Voltage = 3.29V
2024-05-04 04:36:19,No Connection
2024-05-04 04:36:19,Battery Voltage = 3.30V
2024-05-04 04:36:19,No Connection
2024-05-04 04:36:19,Battery Voltage = 3.26V
2024-05-04 04:36:20,No Connection
2024-05-04 04:36:20,Battery Voltage = 3.29V
2024-05-04 04:36:20,No Connection
2024-05-04 04:36:20,Battery Voltage = 3.29V
2024-05-04 04:36:21,No Connection
2024-05-04 04:36:21,Battery Voltage = 3.29V
2024-05-04 04:36:21,No Connection
2024-05-04 04:36:21,Battery Voltage = 3.30V
2024-05-04 04:36:22,No Connection
2024-05-04 04:36:22,Battery Voltage = 3.30V
2024-05-04 04:36:22,No Connection
2024-05-04 04:36:22,Battery Voltage = 3.30V
2024-05-04 04:36:23,No Connection
2024-05-04 04:36:23,Battery Voltage = 3.29V
2024-05-04 04:36:23,No Connection
2024-05-04 04:36:23,Battery Voltage = 3.28V
2024-05-04 04:36:24,No Connection
2024-05-04 04:36:24,Battery Voltage = 3.29V
2024-05-04 04:36:24,No Connection
2024-05-04 04:36:24,Battery Voltage = 3.28V
2024-05-04 04:36:25,No Connection
2024-05-04 04:36:25,Battery Voltage = 3.29V
2024-05-04 04:36:25,No Connection
2024-05-04 04:36:25,Battery Voltage = 3.32V
2024-05-04 04:36:26,No Connection
2024-05-04 04:36:26,Battery Voltage = 3.30V
2024-05-04 04:36:26,No Connection
2024-05-04 04:36:26,Battery Voltage = 3.29V
2024-05-04 04:36:27,No Connection
2024-05-04 04:36:27,Battery Voltage = 3.30V
2024-05-04 04:36:27,No Connection
2024-05-04 04:36:27,Battery Voltage = 3.31V
2024-05-04 04:36:28,No Connection
2024-05-04 04:36:28,Battery Voltage = 3.29V
2024-05-04 04:36:28,No Connection
2024-05-04 04:36:28,Battery Voltage = 3.30V
2024-05-04 04:36:29,No Connection
2024-05-04 04:36:29,Battery Voltage = 3.29V
2024-05-04 04:36:29,No Connection
2024-05-04 04:36:29,Battery Voltage = 3.28V
2024-05-04 04:36:29,No Connection
2024-05-04 04:36:29,Battery Voltage = 3.30V
2024-05-04 04:36:30,No Connection
2024-05-04 04:36:30,Battery Voltage = 3.29V
2024-05-04 04:36:30,No Connection
2024-05-04 04:36:30,Battery Voltage = 3.28V
2024-05-04 04:36:31,No Connection
2024-05-04 04:36:31,Battery Voltage = 3.30V
2024-05-04 04:36:31,No Connection
2024-05-04 04:36:31,Battery Voltage = 3.30V
2024-05-04 04:36:32,No Connection
2024-05-04 04:36:32,Battery Voltage = 3.29V
2024-05-04 04:36:32,No Connection
2024-05-04 04:36:32,Battery Voltage = 3.28V
2024-05-04 04:36:33,No Connection
2024-05-04 04:36:33,Battery Voltage = 3.30V
2024-05-04 04:36:33,No Connection
2024-05-04 04:36:33,Battery Voltage = 3.29V
2024-05-04 04:36:34,No Connection
2024-05-04 04:36:34,Battery Voltage = 3.30V
2024-05-04 04:36:34,No Connection
2024-05-04 04:36:34,Battery Voltage = 3.31V
2024-05-04 04:36:35,No Connection
2024-05-04 04:36:35,Battery Voltage = 3.30V
2024-05-04 04:36:35,No Connection
2024-05-04 04:36:35,Battery Voltage = 3.29V
2024-05-04 04:36:35,No Connection
2024-05-04 04:36:35,Battery Voltage = 3.31V
2024-05-04 04:36:36,No Connection
2024-05-04 04:36:36,Battery Voltage = 3.29V
2024-05-04 04:36:36,No Connection
2024-05-04 04:36:36,Battery Voltage = 3.26V
2024-05-04 04:36:37,No Connection
2024-05-04 04:36:37,Battery Voltage = 3.28V
2024-05-04 04:36:37,No Connection
2024-05-04 04:36:37,Battery Voltage = 3.29V
2024-05-04 04:36:38,No Connection
2024-05-04 04:36:38,Battery Voltage = 3.29V
2024-05-04 04:36:38,No Connection
2024-05-04 04:36:38,Battery Voltage = 3.30V
2024-05-04 04:36:39,No Connection
2024-05-04 04:36:39,Battery Voltage = 3.28V
2024-05-04 04:36:39,No Connection
2024-05-04 04:36:39,Battery Voltage = 3.28V
2024-05-04 04:36:40,No Connection
2024-05-04 04:36:40,Battery Voltage = 3.30V
2024-05-04 04:36:40,oltage = 3.27V
2024-05-04 04:36:40,No Connection
2024-05-04 04:36:40,Battery Voltage = 3.27V
2024-05-04 04:36:41,No Connection
2024-05-04 04:36:41,Battery Voltage = 3.27V
2024-05-04 04:36:41,No Connection
2024-05-04 04:36:41,Battery Voltage = 3.28V
2024-05-04 04:36:41,No Connection
2024-05-04 04:36:41,Battery Voltage = 3.31V
2024-05-04 04:36:42,No Connection
2024-05-04 04:36:42,Battery Voltage = 3.27V
2024-05-04 04:36:42,No Connection
2024-05-04 04:36:42,Battery Voltage = 3.30V
2024-05-04 04:36:43,No Connection
2024-05-04 04:36:43,Battery Voltage = 3.28V
2024-05-04 04:36:43,No Connection
2024-05-04 04:36:43,Battery Voltage = 3.29V
2024-05-04 04:36:44,No Connection
2024-05-04 04:36:44,Battery Voltage = 3.27V
2024-05-04 04:36:44,No Connection
2024-05-04 04:36:44,Battery Voltage = 3.28V
2024-05-04 04:36:45,No Connection
2024-05-04 04:36:45,Battery Voltage = 3.28V
